,输入负担:Sasha 系统,输入负担:SAGE 系统,输入负担:SAE 系统,可用性:Sasha 系统,可用性:SAGE 系统,可用性:SAE 系统,接受度:Sasha 系统,接受度:SAGE 系统,接受度:SAE 系统
A1,5,4,5,5,5,5,4,5,4
A2,2,2,6,1,2,6,3,3,6
A3,1,1,5,1,1,7,2,2,6
A4,5,4,6,6,5,6,6,5,5
A5,1,6,3,1,6,3,1,6,3
A6,2,3,6,2,2,6,2,3,5
A7,2,5,4,3,6,5,2,4,3
A8,4,6,4,4,4,7,4,4,7
A9,3,6,3,3,6,3,3,6,3
A10,6,6,5,6,5,6,5,6,6
A11,2,4,6,1,2,5,1,3,6
B1,5,3,5,5,6,4,5,4,4
B2,2,2,4,2,5,5,2,5,6
B3,3,3,4,4,4,4,3,3,4
B4,6,5,6,6,5,6,5,5,5
B5,3,5,5,3,5,5,3,5,5
B6,3,3,5,2,3,5,2,2,5
B7,3,5,4,3,5,4,2,4,3
B8,3,7,3,3,7,3,3,7,3
B9,3,6,3,3,6,3,3,6,3
B10,6,7,6,6,6,6,5,6,5
B11,2,6,5,2,6,4,1,5,5
C1,5,4,3,5,4,4,5,3,5
C2,6,6,6,6,6,6,3,3,7
C3,4,5,5,4,6,6,1,3,7
C4,6,5,5,6,5,5,6,5,5
C5,6,6,6,6,6,6,6,6,6
C6,4,4,6,4,4,6,1,1,7
C7,4,5,4,3,5,4,3,5,3
C8,3,3,7,3,3,7,3,3,7
C9,4,6,3,3,5,3,3,6,4
C10,5,6,5,4,5,4,4,5,5
C11,4,4,5,4,4,4,3,3,5
D1,4,2,5,4,3,5,4,5,3
D2,2,2,4,3,4,5,4,4,4
D3,2,3,5,1,2,4,4,4,6
D4,7,5,6,7,5,6,6,5,5
D5,4,4,4,4,4,4,4,4,4
D6,3,3,4,3,3,5,2,2,5
D7,3,5,4,3,4,3,4,5,4
D8,3,3,7,3,3,7,3,3,7
D9,3,6,3,3,6,3,3,6,3
D10,5,6,5,5,6,5,5,6,5
D11,2,5,6,2,5,6,3,5,6
